name_trans|viewData.symbol|exchange_trans|sector_trans|industry_trans|last|pair_change_percent|eq_market_cap|turnover_volume|eq_pe_ratio|MACD|eq_revenue|avg_volume|eq_eps|eq_beta|eq_dividend|eq_yield|tech_sum_900|tech_sum_3600|tech_sum_86400|tech_sum_week|tech_sum_month|daily|week|month|ytd|year|3year|eq_one_year_return|yield_us|peexclxor_us|ttmpr2rev_us|aprfcfps_us|ttmprfcfps_us|price2bk_us|pr2tanbk_us|epschngyr_us|ttmepschg_us|epstrendgr_us|revchngyr_us|ttmrevchg_us|revtrendgr_us|csptrendgr_us|ttmastturn_us|ttminvturn_us|ttmrevpere_us|ttmniperem_us|ttmrecturn_us|a52_week_high|a52_week_low|a52_week_high_diff|a52_week_low_diff|month_change|ttmgrosmgn_us|grosmgn5yr_us|ttmopmgn_us|opmgn5yr_us|ttmptmgn_us|ptmgn5yr_us|ttmnpmgn_us|margin5yr_us|qquickrati_us|qcurratio_us|qltd2eq_us|qtotd2eq_us|yld5yavg_us|divgrpct_us|ttmpayrat_us|ADX|ATR|BullBear|CCI|HL|ROC|RSI|STOCH|STOCHRSI|UO|WilliamsR
Santam|SNTJ|Johannesburg|Financial|Insurance|30122|-0.26%|34.01B|21.45K|16.63|721.30|39.30B|34.06K|18.16|0.23|1.31K|-|Strong Buy|Strong Buy|Strong Buy|Strong Buy|Strong Buy|-0.26|0.37|3.51|17.46|6.02|14.10|5.66|4.4%|0.00|0.00|0.00|0.00|0.00|0.00|-14.61|-27.11|0.00|10.68|5.36|0.00|0.00|0.46|0.00|5.05|264.02|4.49|30797|22856|-2.19|31.79|5.66%|25.13|26.78|0.00|10.50|0.00|9.58|0.00|7.04|0.00|0.84|0.00|0.00|3.16|189.81|113.77|19.60|1.18K|26.61|69.06|203.21|4.01|62.91|97.22|36.20|73.56|-3.25
Tiger Brands|TBSJ|Johannesburg|Consumer Non-Cyclicals|Food & Tobacco|20617|-1.98%|32.24B|410.81K|11.71|-46.89|25.39B|379.68K|17.62|0.18|973.00|-|Sell|Strong Sell|Strong Sell|Buy|Strong Buy|-1.98|-7.29|-1.46|-1.83|36.69|34.05|35.42|4.66%|12.25|1.03|17.63|34.10|2.26|2.77|0.00|54.28|-1.65|0.00|9.93|1.69|0.90|1.45|3.58|3.52|299.39|10.38|22958|13427|-10.20|53.55|6.71%|30.31|31.04|9.52|10.24|11.50|11.57|8.42|8.17|0.60|1.67|2.57|9.61|4.67|13.54|48.40|39.21|736.43|-1.92K|-246.97|-984.93|-4.97|33.06|89.83|0.00|42.21|-18.07
Foschini Group|TFGJ|Johannesburg|Consumer Cyclicals|Specialty Retailers|9397|-2.34%|30.29B|1.48M|9.05|-272.17|47.84B|1.30M|10.44|0.93|500.00|-|Neutral|Strong Sell|Strong Sell|Strong Sell|Strong Sell|-2.34|-4.93|-10.33|-6.96|-23.43|-9.14|-22.77|4.7%|9.00|0.63|7.10|17.09|1.50|3.12|44.43|381.18|-4.03|23.51|21.30|12.99|12.24|1.05|2.38|1.13|-35.73|6.58|15184|9256|-38.11|1.52|-6.41%|48.76|50.57|12.55|11.43|9.67|7.30|7.04|4.97|0.73|1.58|27.39|108.17|3.19|0.00|48.70|38.28|280.64|-1.18K|-193.76|-593.86|-12.78|27.03|39.79|0.00|34.60|-90.75
Life Healthcare|LHCJ|Johannesburg|Healthcare|Healthcare Providers & Services|1974|3.46%|28.50B|5.56M|18.43|35.24|120.00M|3.09M|1.06|0.31|40.00|-|Strong Buy|Strong Buy|Strong Buy|Strong Buy|Sell|3.46|2.28|16.80|16.94|-8.86|-16.43|-9.45|2.37%|18.65|1.00|6.75|13.74|1.52|12.79|0.00|-12.29|11.23|0.00|5.07|6.28|6.65|0.68|32.48|1.67|-9.23|8.90|2375|1597|-16.88|23.61|15.29%|29.41|32.62|9.44|13.04|8.73|10.30|5.39|6.64|0.80|1.02|55.13|73.00|2.05|0.00|38.34|27.55|51.93|-4.22|-28.20|2.14|2.81|63.16|51.94|47.85|53.71|-18.98
Thungela Resources|TGAJ|Johannesburg|Energy|Coal|20617.59|-1.17%|28.27B|359.43K|3.17|-561.04|42.41B|666.93K|112.52|-0.07|7.80K|-|Sell|Strong Sell|Strong Sell|Strong Sell|Strong Buy|-1.17|-2.65|-2.75|-28.08|19.66|-|21.62|35.21%|1.93|0.69|3.90|2.03|1.27|1.29|2.05K|33.29K|0.00|160.56|249.39|0.00|0.00|1.32|4.49|2.70|24.67|8.34|38249|14293|-46.10|44.25|-7.84%|76.94|70.20|54.19|24.71|44.84|16.59|35.73|15.20|3.44|3.97|1.06|0.94|-|0.00|16.15|31.34|1.01K|-668.58|-22.74|0.00|0.52|41.72|87.93|70.35|35.00|-12.93
Sappi|SAPJ|Johannesburg|Basic Materials|Paper & Forest Products|4901|-1.23%|27.95B|824.09K|2.51|-28.33|113.07B|1.86M|1.07|0.59|267.28|-|Neutral|Sell|Strong Sell|Strong Sell|Neutral|-1.23|-1.45|2.51|-0.47|-5.48|101.85|-1.39|5.45%|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|6348|3937|-22.79|24.49|-5.01%|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|31.03|156.93|-43.44|-22.05|0.00|-0.04|46.69|31.47|33.07|41.36|-70.28
Hammerson|HMNJ|Johannesburg|Real Estate|Residential & Commercial REITs|554|-7.67%|27.58B|5.53M|-7.80|5.37|288.00M|1.60M|-0.03|2.19|47.33|-|Strong Sell|Strong Sell|Strong Sell|Neutral|Strong Sell|-7.67|-13.71|-13.44|11.92|-12.89|-96.42|-13.30|7.37%|-305.96|8.61|18.41|20.70|0.35|0.35|-443.29|-175.11|-|-15.24|-10.29|4.88|-3.08|0.02|-|409.72|-492.66|1.99|679|353|-18.41|56.94|16.52%|88.09|89.07|-63.68|215.06|-119.44|163.31|-120.24|162.62|1.31|0.71|56.26|56.44|34.86|-|-1.58|30.02|29.29|-113.45|-291.93|-64.43|-14.11|34.15|52.89|0.00|36.07|-98.42
SPAR|SPPJ|Johannesburg|Consumer Non-Cyclicals|Food & Drug Retailing|13900|-0.45%|26.75B|953.66K|12.40|109.88|101.61B|1.85M|11.18|0.05|400.00|-|Sell|Sell|Strong Sell|Neutral|Sell|-0.45|-6.10|-1.52|22.47|-14.06|-13.19|-12.36|2.85%|13.03|0.21|7.32|13.69|2.87|12.71|-8.42|-4.93|3.41|6.76|5.99|7.29|8.76|2.48|20.12|12.44|214.81|8.83|17388|11298|-20.06|23.03|4.77%|12.02|11.40|2.47|2.70|2.24|2.38|1.59|1.77|0.63|0.99|72.48|264.08|4.88|-57.67|64.44|39.31|406.43|-919.24|-185.32|-353.50|-5.38|42.83|85.09|0.00|45.41|-22.60
Quilter|QLTJ|Johannesburg|Financial|Investment Banking & Investment Services|1960|-4.2%|26.56B|1.07M|7.71|-9.13|-4.04B|1.46M|0.12|1.14|565.14|-|Strong Sell|Strong Sell|Strong Sell|Strong Sell|Strong Sell|-4.20|-2.58|-2.92|3.16|-25.09|-26.29|-21.80|27.92%|6.85|0.70|0.50|0.73|1.32|1.82|288.14|500.12|10.58|-72.82|-137.98|1.29|10.99|0.06|0.00|915.70|0.71|3.09|2998|1661|-34.62|18.00|0.39%|89.11|78.00|67.68|9.29|0.18|3.25|0.08|1.15|0.05|1.17|9.56|9.56|2.85|16.72|0.00|15.78|87.57|-41.35|-115.83|-25.07|-3.21|43.15|25.18|9.14|40.78|-97.77
Textainer|TXTJ|Johannesburg|Industrials|Professional & Commercial Services|58502|-8.73%|25.78B|56.00K|5.16|959.25|913.56M|11.51K|6.23|1.29|2.18K|-|Strong Sell|Strong Sell|Neutral|Strong Buy|Strong Buy|-8.73|-1.01|-2.50|10.38|1.74|422.62|2.64|3.67%|4.91|0.80|1.87|15.55|0.45|0.45|-16.10|203.17|-22.89|96.03|37.90|5.05|2.22|0.15|3.49|3.80|304.78|7.18|64095|41833|-8.73|39.85|3.39%|73.71|83.60|28.72|30.62|8.31|11.40|8.01|11.71|1.08|1.39|266.66|282.55|0.81|37.21|-|27.24|2.50K|2.08K|33.11|-327.64|-1.49|47.67|93.82|0.00|50.03|-10.34
Momentum|MTMJ|Johannesburg|Financial|Insurance|1853|-2.47%|25.55B|4.59M|4.88|2.77|61.21B|2.79M|3.83|0.54|115.00|-|Neutral|Strong Sell|Strong Sell|Buy|Strong Buy|-2.47|-5.07|-4.73|7.73|6.01|7.98|6.31|6%|0.00|0.00|4.84|0.00|0.00|0.00|249.96|2.19K|21.51|-13.71|-55.20|5.23|-4.99|0.10|0.00|4.25|229.98|10.44|2010|1386|-7.81|33.69|5.19%|48.11|29.06|0.00|8.42|0.00|5.76|0.00|1.87|44.46|36.59|43.59|43.59|3.46|100.00|26.82|30.88|44.57|-138.65|-276.03|-71.79|-5.84|35.74|49.53|0.00|41.17|-88.70
Redefine Properties|RDFJ|Johannesburg|Real Estate|Residential & Commercial REITs|365|-0.82%|24.65B|8.12M|2.58|-8.93|5.89B|9.89M|1.41|1.26|42.97|-|Buy|Neutral|Strong Sell|Strong Sell|Strong Sell|-0.82|-2.93|-6.41|-13.71|-9.43|-20.31|-12.26|10.93%|2.82|2.98|9.38|0.00|0.51|0.52|0.00|181.39|16.52|0.00|15.28|0.93|0.00|0.10|0.00|16.12|6.34|22.97|470|338|-22.34|7.99|-4.74%|59.23|65.45|55.12|59.46|105.82|4.45|105.19|-0.36|0.28|0.69|67.89|77.65|14.13|0.00|55.99|32.20|11.21|-19.63|-198.28|-6.43|-6.19|32.08|34.48|16.89|36.63|-86.21
Montauk Renewables|MKRJ|Johannesburg|Utilities|Electrical Utilities & IPPs|16990|-7.39%|23.91B|1.08K|37.89|-312.49|155.91M|6.58K|0.25|0.58|-|-|Strong Sell|Strong Sell|Strong Sell|Strong Sell|Strong Sell|-7.39|-2.91|-12.29|-11.42|5.53|-|14.23|-|40.10|17.36|113.33|898.78|10.87|12.10|-60.60|-20.91|-|-9.73|-5.04|-|-|0.50|-|841.01|21.35|10.66|36200|15001|-53.07|13.26|-3.9%|40.05|45.42|6.57|7.50|2.43|5.28|2.54|3.62|3.58|1.25|37.39|43.41|-|-|-|52.52|972.14|-920.84|-143.01|-585.79|-10.58|39.71|90.30|8.36|49.43|-22.63
Avi|AVIJ|Johannesburg|Consumer Non-Cyclicals|Food & Tobacco|6768|-2.6%|22.41B|850.12K|12.75|-111.49|14.37B|656.52K|5.32|0.12|464.00|-|Strong Sell|Strong Sell|Strong Sell|Strong Sell|Strong Sell|-2.60|-13.66|-8.02|-10.01|3.34|2.24|6.92|6.05%|14.25|1.80|10.51|12.51|5.20|6.47|0.61|2.56|2.05|7.23|6.99|0.98|-15.09|1.50|3.33|1.54|188.84|7.85|7932|6212|-14.67|8.95|2.91%|38.71|40.94|18.35|18.50|17.52|17.79|12.65|12.81|0.61|1.34|3.77|60.37|5.65|6.10|87.04|28.53|245.21|-1.01K|-191.26|-564.07|-8.97|26.71|45.83|0.00|42.06|-94.12
Dis-Chem Pharmacies|DCPJ|Johannesburg|Consumer Non-Cyclicals|Food & Drug Retailing|2562|-2.06%|22.04B|708.63K|21.14|-88.70|16.33B|668.55K|1.21|0.09|48.32|-|Strong Sell|Strong Sell|Strong Sell|Strong Sell|Strong Sell|-2.06|-5.11|-13.82|-10.89|-27.11|21.83|-26.95|1.79%|22.36|0.73|15.00|35.79|6.19|9.34|44.70|34.00|5.77|9.32|11.94|11.98|11.24|2.25|4.19|1.59|53.90|15.11|3915|2551|-34.56|0.43|-9.38%|23.28|23.31|5.68|5.69|4.68|4.20|3.27|3.05|0.39|1.14|12.61|124.60|0.90|0.00|37.64|61.96|81.93|-244.07|-146.90|-99.93|-11.38|26.79|29.53|0.00|45.17|-96.74
Transaction Capital|TCPJ|Johannesburg|Financial|Banking Services|2798|-2.34%|21.19B|1.14M|12.26|-117.08|13.76B|1.25M|2.27|0.60|70.00|-|Neutral|Strong Sell|Strong Sell|Strong Sell|Strong Sell|-2.34|-8.68|-14.56|-15.47|-36.85|60.80|-36.41|2.16%|12.64|0.88|-6.30|-5.23|2.66|-176.91|-40.11|-32.49|19.65|277.89|215.36|51.19|59.53|0.66|7.08|1.41|112.48|4.02|5250|2753|-46.70|1.63|-9.57%|7.96|23.57|7.55|20.80|10.15|25.18|6.81|19.53|1.45|1.87|168.79|345.39|2.17|268.42|28.97|69.20|106.29|-401.53|-221.57|-198.14|-12.48|23.36|41.30|0.00|37.56|-90.39
Truworths|TRUJ|Johannesburg|Consumer Cyclicals|Specialty Retailers|5644|-2.27%|20.80B|2.29M|6.73|-168.18|23.31B|1.79M|8.47|1.09|525.00|-|Strong Sell|Strong Sell|Strong Sell|Sell|Sell|-2.27|-4.73|-12.39|2.62|-0.44|48.76|-0.19|8.57%|7.13|1.17|5.02|14.97|3.10|3.52|12.54|36.98|3.77|13.08|15.09|-0.20|-6.87|1.29|4.72|2.00|330.59|3.87|6990|4586|-19.26|23.07|-10.28%|53.82|51.99|18.87|14.55|23.38|12.99|17.06|8.47|1.26|1.76|1.79|77.66|8.66|58.94|61.74|47.88|226.36|-688.60|-119.22|-363.71|-16.62|31.23|26.77|0.00|36.74|-96.71
Sirius RE|SREJ|Johannesburg|Real Estate|Real Estate Operations|1720|-5.86%|20.40B|557.32K|6.89|-6.20|4.56B|471.59K|0.13|1.16|87.87|-|Neutral|Strong Sell|Strong Sell|Strong Sell|Strong Sell|-5.86|-2.71|-9.47|10.19|-29.33|24.01|-28.98|4.72%|6.96|5.72|174.82|605.55|1.09|1.11|26.34|7.30|12.86|12.67|36.31|21.81|41.46|0.13|-|502.23|385.99|67.14|2573|1248|-33.15|37.82|1.11%|52.66|65.67|93.25|104.52|86.17|84.69|76.86|76.45|1.40|1.27|52.14|53.32|-|3.20|32.06|54.00|56.43|-119.77|-186.49|-58.93|-6.62|38.58|43.68|1.01|42.84|-86.29
Pick n Pay|PIKJ|Johannesburg|Consumer Non-Cyclicals|Food & Drug Retailing|4159|-2.53%|20.00B|1.17M|14.65|-290.33|52.24B|1.32M|2.85|0.06|230.20|-|Strong Sell|Strong Sell|Strong Sell|Strong Sell|Strong Sell|-2.53|-9.47|-12.97|-26.77|-9.09|-16.22|-10.33|5.01%|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|6688|4141|-37.81|0.43|-17.8%|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|48.21|137.07|-578.63|-219.96|-324.43|-11.87|19.56|39.14|0.00|33.55|-97.63
Bytes Technology|BYIJ|Johannesburg|Technology|Software & IT Services|8101|-2.44%|20.00B|14.71K|27.75|-43.64|191.83M|13.41K|0.15|1.03|259.68|-|Strong Sell|Strong Sell|Strong Sell|Strong Sell|Strong Sell|-2.44|-4.48|-7.02|2.74|-7.05|-|-3.81|2.92%|26.07|3.14|34.61|30.63|24.35|252.33|23.76|-17.21|-|7.89|5.49|-|-|2.13|652.67|574.55|29.10|4.12|10000|7350|-18.99|10.22|2.39%|22.01|24.91|8.63|9.47|8.64|8.58|6.98|6.71|0.99|0.99|2.50|3.01|-|-|-|23.16|360.43|-621.29|-204.62|-435.14|-5.81|41.08|36.75|0.00|28.99|-100.00
Netcare|NTCJ|Johannesburg|Healthcare|Healthcare Providers & Services|1490|-0.47%|19.94B|1.05M|20.29|5.53|15.97B|2.74M|0.73|0.31|50.00|-|Strong Buy|Strong Buy|Sell|Strong Buy|Neutral|-0.47|-1.46|8.36|2.76|4.34|-17.63|3.04|3.57%|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1641|1276|-9.20|16.77|6.65%|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|25.43|43.29|-42.42|-116.59|-8.50|0.68|48.75|36.80|0.00|55.44|-66.25
Netcare|NTCPp|Johannesburg|Healthcare|Healthcare Providers & Services|8100|0%|19.94B|1.19K|20.29|-9.81|15.97B|8.15K|0.73|0.31|648.53|-|Strong Sell|Strong Sell|Strong Sell|Sell|Strong Sell|0.00|0.00|0.00|1.25|-2.41|2.53|-2.41|7.81%|21.54|0.97|8.04|17.07|2.05|2.43|47.43|33.36|0.00|1.85|2.06|2.51|-10.59|0.83|18.44|-|-|7.91|8770|7651|-7.64|5.87|3.74%|48.77|49.37|10.34|12.69|7.09|8.76|4.68|6.00|0.83|1.03|51.39|106.01|3.63|9.39|71.87|23.43|99.71|-39.40|-35.79|0.00|-2.41|48.21|33.39|39.82|21.71|-66.67
Telkom|TKGJ|Johannesburg|Technology|Telecommunications Services|3645|-3.14%|17.79B|1.33M|9.35|82.17|32.04B|1.49M|3.92|0.61|-|-|Strong Sell|Strong Sell|Sell|Buy|Strong Sell|-3.14|-4.05|5.29|21.42|-18.27|55.84|-16.97|1.38%|9.32|0.42|2.25|-24.31|0.51|0.61|-52.43|-28.66|-6.20|-0.37|-1.03|0.76|-1.08|0.66|21.59|3.63|162.11|5.27|5070|2908|-28.11|25.34|10.24%|39.27|40.65|7.94|11.10|6.47|7.52|4.46|5.30|0.57|0.84|23.63|55.71|5.35|-100.00|0.31|28.92|144.00|-61.79|-45.34|-20.00|1.05|50.27|51.26|0.00|40.55|-70.80
Barloworld|BAWJ|Johannesburg|Industrials|Machinery, Tools, Heavy Vehicles, Trains & Ships|9125|-0.41%|17.30B|344.39K|14.68|56.42|28.89B|304.69K|10.52|0.61|1.01K|-|Buy|Buy|Strong Sell|Strong Sell|Strong Sell|-0.41|1.16|-0.21|7.67|-8.21|16.29|-9.54|11.04%|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|11912|8100|-23.40|12.65|1.73%|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|34.43|380.57|-197.63|-104.35|0.00|-1.70|49.39|34.72|11.62|46.28|-68.67
Motus|MTHJ|Johannesburg|Consumer Cyclicals|Specialty Retailers|9923|-5.08%|17.08B|753.09K|4.85|-491.55|97.20B|356.50K|20.42|1.03|735.00|-|Sell|Strong Sell|Strong Sell|Strong Sell|Sell|-5.08|-9.38|-22.48|-10.35|-0.18|53.70|1.06|6.24%|5.57|0.19|7.30|-45.88|1.26|2.00|16.60|42.77|19.61|14.26|12.19|6.82|-1.67|2.01|3.58|5.11|180.52|15.18|13600|9622|-27.04|3.13|-10.21%|8.05|6.80|5.67|4.41|4.68|3.25|3.48|2.34|0.28|1.42|59.65|156.68|0.98|-100.00|35.03|47.44|437.14|-1.83K|-158.29|-995.93|-22.55|19.14|36.88|0.00|38.17|-96.54
Fortress Income|FFAJ|Johannesburg|Real Estate|Residential & Commercial REITs|1080|-0.46%|17.02B|2.25M|12.09|11.60|2.92B|2.06M|0.37|0.77|74.70|-|Strong Buy|Strong Buy|Strong Buy|Buy|Strong Sell|-0.46|2.27|4.85|2.76|-5.68|-30.10|-7.38|7.9%|21.53|3.57|7.62|0.00|0.63|0.63|-133.39|-76.35|-28.80|13.82|19.12|0.69|0.00|0.10|0.00|51.32|53.92|119.75|1323|877|-18.37|23.15|3.44%|72.01|69.99|66.38|64.45|18.00|-29.11|16.57|-26.65|0.21|0.56|51.56|71.61|8.97|-100.00|113.05|14.59|25.36|23.26|108.16|7.07|2.27|63.81|60.42|69.87|47.21|-29.11
Fortress Income|FFBJ|Johannesburg|Real Estate|Residential & Commercial REITs|442|-2%|17.02B|556.99K|29.27|-5.49|2.92B|1.48M|0.37|0.77|-|-|Strong Sell|Strong Sell|Strong Sell|Sell|Neutral|-2.00|-3.49|-7.92|-7.72|27.01|-6.55|29.24|-|21.53|3.57|7.62|0.00|0.63|0.63|-133.39|-76.35|-28.80|13.82|19.12|0.69|0.00|0.10|0.00|51.32|53.92|119.75|513|300|-13.84|47.33|-2.11%|72.01|69.99|66.38|64.45|18.00|-29.11|16.57|-26.65|0.21|0.56|51.56|71.61|8.97|0.00|113.05|41.49|24.86|-39.42|-269.69|0.00|-4.95|40.67|57.31|55.59|46.56|-67.92
Resilient Property|RESJ|Johannesburg|Real Estate|Residential & Commercial REITs|4975|-0.74%|16.50B|921.53K|4.64|-64.48|4.01B|515.56K|10.77|1.08|460.67|-|Strong Sell|Strong Sell|Strong Sell|Strong Sell|Strong Sell|-0.74|-2.03|-3.98|-7.44|-4.41|-0.52|-6.88|8.95%|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.09|0.00|98.78|11.80|17.81|6000|4686|-17.08|6.17|-3.63%|62.59|65.05|0.00|60.42|0.00|-31.88|0.00|-25.79|0.00|0.18|0.00|0.00|12.11|7.43|432.66|27.79|134.43|-55.29|-130.65|-45.79|-2.45|29.47|13.73|0.00|25.06|-96.33
PSG Konsult Ltd|KSTJ|Johannesburg|Financial|Investment Banking & Investment Services|1225|-1.37%|15.70B|279.43K|17.47|3.62|3.16B|542.97K|0.70|0.65|33.00|-|Neutral|Strong Sell|Strong Sell|Buy|Buy|-1.37|-3.47|-0.41|1.16|1.16|64.87|2.94|2.7%|16.98|2.52|20.48|15.03|3.80|5.53|1.75|20.04|13.36|8.11|12.62|10.40|0.74|0.08|0.00|2.06|333.06|-|1476|981|-17.01|24.87|1.72%|46.34|45.30|22.24|21.04|22.26|21.06|14.85|15.00|0.05|0.06|7.35|6.29|2.45|15.22|45.58|49.05|35.36|-50.95|-157.64|-7.64|-0.24|44.21|46.34|0.00|61.28|-90.24
Italtile|ITEJ|Johannesburg|Consumer Cyclicals|Specialty Retailers|1266|-2.62%|15.37B|44.27K|8.39|-20.26|6.89B|172.78K|1.52|0.31|59.00|-|Strong Sell|Strong Sell|Strong Sell|Strong Sell|Strong Sell|-2.62|-2.62|-9.57|-6.91|-25.53|8.21|-21.02|4.27%|8.31|1.71|7.53|15.10|2.29|2.47|8.43|8.06|11.00|-2.84|-1.69|19.60|25.12|1.03|3.97|3.39|729.64|18.66|1852|1251|-31.64|1.20|0.68%|45.81|40.56|30.26|26.29|30.06|26.64|20.60|19.20|1.21|3.64|7.47|14.07|5.24|43.90|72.92|67.68|46.64|-77.23|-154.62|-47.43|-9.57|34.84|36.47|0.00|38.65|-90.85
Hosken Consolidated|HCIJ|Johannesburg|Consumer Non-Cyclicals|Consumer Goods Conglomerates|19604|-0.05%|15.30B|28.91K|5.68|612.05|30.32B|72.20K|34.57|0.81|50.00|-|Strong Buy|Strong Buy|Strong Buy|Strong Buy|Strong Buy|-0.05|0.87|11.70|25.27|105.67|215.94|114.25|0.27%|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|20499|9766|-4.37|100.74|16.88%|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|28.59|935.86|1.11K|98.79|0.00|1.74|66.90|91.28|59.32|45.79|-8.52
Globe Trade Centre|GTCJ|Johannesburg|Real Estate|Real Estate Operations|2000|0%|14.79B|0.00|12.59|-|41.85M|500.00|0.10|0.79|101.08|-|-|-|-|-|-|0.00|0.00|0.00|0.00|0.00|-44.44|0.00|5.05%|13.15|6.66|14.30|11.79|1.04|1.04|-57.28|-32.19|-24.34|28.71|32.28|-2.75|-|0.07|11.78|3.90|2.85|22.05|2450|2000|-18.37|0.00|-|70.87|68.23|108.01|36.28|87.55|2.07|73.05|-3.97|1.10|1.10|104.57|113.44|2.54|-|32.84|-|-|-|-|-|-|-|-|-|-|-
Karooooo|KROJ|Johannesburg|Technology|Software & IT Services|46990|0.19%|14.18B|230.00|26.36|1.11K|2.40B|1.36K|17.73|-|1.01K|-|Strong Buy|Strong Buy|Strong Buy|Strong Buy|Buy|0.19|4.19|5.60|17.47|3.27|-|-6.02|2.33%|26.02|7.18|32.82|30.51|12.02|32.08|12.84|21.06|-|19.37|15.43|-|-|1.17|3.07|60.79|15.34|9.94|52499|32001|-10.49|46.84|7.95%|71.82|68.42|33.24|28.55|35.07|27.52|25.24|19.64|0.72|1.15|8.23|15.98|4.11|-|-|34.91|1.86K|692.20|105.82|436.21|5.83|62.29|97.67|82.44|76.15|-2.66
MAS Real Estate|MSPJ|Johannesburg|Real Estate||2039|-2.39%|14.03B|530.91K|5.44|-10.14|64.43M|357.77K|0.20|0.92|-|-|Strong Sell|Strong Sell|Strong Sell|Neutral|Strong Buy|-2.39|-3.36|-6.68|-0.78|1.44|37.77|-0.24|-|5.69|15.52|11.39|0.00|0.80|0.80|47.57|97.08|18.93|9.11|5.63|8.70|0.00|0.03|0.00|-|-|3.15|2201|1680|-7.36|21.37|0.28%|74.69|73.91|57.47|56.08|289.07|101.20|294.60|99.40|1.23|1.93|44.50|49.19|7.03|0.00|44.37|41.88|73.36|-43.35|-184.12|-21.36|-3.77|36.94|47.46|0.00|45.31|-74.67
Vukile Property|VKEJ|Johannesburg|Real Estate|Residential & Commercial REITs|1355|-1.31%|13.28B|1.09M|6.15|13.00|5.32B|1.16M|2.20|0.88|112.61|-|Neutral|Sell|Buy|Strong Buy|Buy|-1.31|-0.37|1.12|2.11|10.43|8.84|8.57|8.4%|6.03|3.58|7.74|0.00|0.69|0.69|23.24|28.56|-1.79|5.31|5.43|13.61|0.00|0.10|0.00|89.82|41.87|10.40|1570|1215|-13.69|11.52|1.9%|65.11|65.68|57.20|59.04|62.18|49.13|59.34|48.23|0.53|0.57|77.09|87.13|11.80|9.75|48.19|26.14|39.64|2.68|47.20|0.00|2.96|54.27|89.20|71.13|60.83|-17.54
Alphamin Res|APHJ|Johannesburg|Basic Materials|Metals & Mining|1160|-0.77%|12.83B|19.06K|7.30|-7.16|391.05M|19.87K|0.08|1.19|38.52|-|Neutral|Sell|Strong Sell|Buy|Buy|-0.77|-5.61|-1.69|14.85|-16.06|427.27|-12.78|3.11%|7.51|10.76|58.43|66.57|1.01|1.01|194.87|110.46|-|500.78|2.12K|-|72.29|-|0.78|-|-|84.52|1790|720|-35.20|61.11|-9.42%|20.88|38.71|-123.81|-85.08|-96.31|-79.95|-97.31|-51.46|1.07|1.20|24.84|24.84|0.47|-|-|44.15|93.07|-155.08|-118.68|0.00|-7.05|44.80|64.47|27.38|73.99|-50.73
Tsogo Sun|TSGJ|Johannesburg|Consumer Cyclicals|Hotels & Entertainment Services|1161|-1.19%|12.15B|179.37K|6.93|0.75|7.94B|349.88K|1.67|1.52|49.00|-|Strong Sell|Strong Sell|Strong Sell|Sell|Neutral|-1.19|-6.75|-1.94|-0.85|6.03|45.49|9.43|4.12%|7.07|1.19|7.50|6.25|3.34|-13.22|106.46|95.42|-12.51|42.87|31.07|-7.76|-27.27|0.66|24.70|678.61|-144.41|25.56|1387|1021|-16.29|13.71|0.93%|82.09|76.91|24.29|24.67|22.51|11.24|16.82|9.88|0.44|0.50|203.94|257.70|7.89|0.00|0.00|25.12|36.50|-54.49|-122.72|-24.36|-3.41|40.56|51.53|0.00|38.15|-90.83
Equites Property Fund Ltd|EQUJ|Johannesburg|Real Estate|Residential & Commercial REITs|1503|-0.07%|11.63B|2.03M|5.71|-21.17|1.95B|1.57M|2.63|0.40|166.19|-|Neutral|Sell|Strong Sell|Strong Sell|Strong Sell|-0.07|-2.53|-2.53|-10.75|-30.00|-3.03|-29.10|10.6%|5.90|5.95|14.61|0.00|0.79|0.79|-20.11|-1.27|2.24|33.43|33.57|27.42|0.00|0.08|0.44|-|-|3.24|2300|1480|-34.65|1.55|-2.83%|84.74|86.18|85.03|81.43|139.04|100.99|100.91|98.93|0.62|1.10|58.74|63.66|7.64|4.99|71.29|25.28|37.79|-54.32|-155.83|0.00|-3.59|38.70|38.85|58.67|41.70|-74.16
