index,stock_name,pb,ps,median_pb,difference_pb,median_ps,difference_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps
49,Thungela Resources,1.27,0.69,1.76,38.58,1.04,50.72,Remgro,0.8,1.04,Mr Price,3.03,1.3,Cafca,0.1,0.04,Distell,2.24,1.9,Aveng Ltd,0.46,0.06,Tiger Brands,2.26,1.03,Royal Bafokeng Platinum,1.76,2.73
50,Hammerson,0.35,8.61,0.72,105.71,3.56,-58.65,Equites Property Fund Ltd,0.79,5.95,African Rainbow,0.72,5.94,Growthpoint Properties,0.65,3.56,Fortress Income,0.63,3.57,SA Corporate Real Estate,0.52,2.71,Aspen Pharmacare,1.06,1.94,OUTsurance,4.76,2.55
51,SPAR,2.87,0.21,1.50,-47.74,0.63,200.00,Woolworths,5.4,0.79,MultiChoice,4.9,1.06,Suprgrp,0.77,0.2,Motus,1.26,0.19,Bidvest,2.84,0.81,Foschini Group,1.5,0.63,Telkom,0.51,0.42
52,Quilter,1.32,0.7,1.35,2.27,1.77,152.86,Curro Hol,0.64,1.12,Reunert,1.35,0.86,Advtech,1.96,1.4,Attacq,0.49,2.44,Northam Platinum Holdings,2.03,1.77,Avi,5.2,1.8,SA Corporate Real Estate,0.52,2.71
53,Textainer,0.45,0.8,1.01,124.44,3.94,392.50,Globe Trade Centre,1.04,6.66,Heriot,0.9,5.1,Exemplar REITail,0.92,3.94,Lesaka Tech,0.36,0.38,Grindrod Shipping,13.59,0.31,Alphamin Res,1.01,10.76,MiX Telematics Ltd,1.55,1.2
54,Momentum,0.0,0.0,1.10,0.00,1.00,0.00,Discovery,1.81,1.4,Aspen Pharmacare,1.06,1.94,Truworths,3.1,1.17,Pepkor,1.1,0.85,Life Healthcare,1.52,1.0,Telkom,0.51,0.42,Kap Industrial,0.73,0.29
55,Redefine Properties,0.51,2.98,1.52,198.04,1.32,-55.70,Fortress Income,0.63,3.57,Truworths,3.1,1.17,Growthpoint Properties,0.65,3.56,Kap Industrial,0.73,0.29,Life Healthcare,1.52,1.0,MTN,2.31,1.32,AngloGold Ashanti,1.79,1.63
56,Montauk Renewables,10.87,17.36,1.55,-85.74,3.14,-81.91,Grindrod Shipping,13.59,0.31,Mtn Zakhele Futhi,0.5,10.39,Lesaka Tech,0.36,0.38,MiX Telematics Ltd,1.55,1.2,Bytes Technology,24.35,3.14,Sygnia Ltd,3.17,3.3,Globe Trade Centre,1.04,6.66
57,Avi,5.2,1.8,1.96,-62.31,1.12,-37.78,Distell,2.24,1.9,Ninety One,5.48,2.82,Hulamin,0.33,0.07,Advtech,1.96,1.4,Quilter,1.32,0.7,Curro Hol,0.64,1.12,Dis-Chem Pharmacies,6.19,0.73
58,Dis-Chem Pharmacies,6.19,0.73,1.81,-70.76,0.88,20.55,Curro Hol,0.64,1.12,Hulamin,0.33,0.07,Raubex,1.02,0.39,Tiger Brands,2.26,1.03,Cashbuild,1.81,0.38,Mr Price,3.03,1.3,Transaction Capital,2.66,0.88
59,Transaction Capital,2.66,0.88,0.90,-66.17,1.77,101.14,Nampak,0.13,0.04,Dis-Chem Pharmacies,6.19,0.73,NEPI Rockcastle,0.9,5.59,Avi,5.2,1.8,Northam Platinum Holdings,2.03,1.77,Vukile Property,0.69,3.58,Hulamin,0.33,0.07
60,Truworths,3.1,1.17,0.90,-70.97,1.94,65.81,Aspen Pharmacare,1.06,1.94,Fortress Income,0.63,3.57,SA Corporate Real Estate,0.52,2.71,Telkom,0.51,0.42,AngloGold Ashanti,1.79,1.63,Foschini Group,1.5,0.63,NEPI Rockcastle,0.9,5.59
61,Sirius RE,1.09,5.72,2.04,87.16,3.05,-46.68,Orion Gold NL,2.04,51.69,RENERGEN,4.93,1160.0,Purple Capital Ltd,3.61,6.36,Southern Sun,0.82,1.54,Curro Hol,0.64,1.12,Jubilee Platinum,0.54,3.05,Ninety One,5.48,2.82
62,Bytes Technology,24.35,3.14,1.55,-93.63,3.30,5.10,Lesaka Tech,0.36,0.38,MiX Telematics Ltd,1.55,1.2,Karooooo,12.02,7.18,Alphamin Res,1.01,10.76,Grindrod Shipping,13.59,0.31,Sygnia Ltd,3.17,3.3,Globe Trade Centre,1.04,6.66
63,Netcare,2.05,0.97,1.05,-48.78,0.34,-64.95,Bell Equipment Ltd.,0.37,0.17,Libstar,0.66,0.34,Metair,0.97,0.38,Kaap Agri Bedryf,1.05,0.18,Astral,1.29,0.32,Mpact,1.1,0.37,Ninety One,9.42,1.78
64,Telkom,0.51,0.42,2.26,343.14,1.03,145.24,Clicks,11.4,1.64,Avi,5.2,1.8,Foschini Group,1.5,0.63,Hulamin,0.33,0.07,Tiger Brands,2.26,1.03,Dis-Chem Pharmacies,6.19,0.73,Distell,2.24,1.9
65,Motus,1.26,0.19,2.84,125.40,0.63,231.58,Suprgrp,0.77,0.2,MultiChoice,4.9,1.06,Foschini Group,1.5,0.63,Bidvest,2.84,0.81,SPAR,2.87,0.21,Woolworths,5.4,0.79,RCL Foods,0.9,0.28
66,Fortress Income,0.63,3.57,1.79,184.13,2.69,-24.65,SA Corporate Real Estate,0.52,2.71,NEPI Rockcastle,0.9,5.59,Truworths,3.1,1.17,Pan African Resources,1.86,2.69,Advtech,1.96,1.4,AngloGold Ashanti,1.79,1.63,Vukile Property,0.69,3.58
67,Fortress Income,0.63,3.57,0.50,-20.63,2.44,-31.65,Invprop,0.5,4.59,Attacq,0.49,2.44,Resilient Property,0.0,0.0,JSE,0.0,0.0,Stor-Age Property REIT Ltd,0.91,6.45,City Lodge,2.45,1.73,Ninety One,5.48,2.82
68,Resilient Property,0.0,0.0,0.69,0.00,2.92,0.00,Coronation,5.33,2.92,Fortress Income,0.63,3.57,Vukile Property,0.69,3.58,Attacq,0.49,2.44,Avi,5.2,1.8,Invprop,0.5,4.59,Reunert,1.35,0.86
69,PSG Konsult Ltd,3.8,2.52,0.91,-76.05,1.01,-59.92,JSE,0.0,0.0,RFG Holdings,0.89,0.37,Stor-Age Property REIT Ltd,0.91,6.45,Adcock Ingram,1.68,1.01,Afrimat,2.26,1.75,Insimbi Refractory Alloy Supply,0.58,0.07,Orion Gold NL,2.04,51.69
70,Italtile,2.29,1.71,0.59,-74.24,0.53,-69.01,Afrimat,2.26,1.75,Sea Harvest,0.88,0.53,Caxton,0.47,0.54,Quantum Foods Holdings,0.45,0.16,Invicta,0.59,0.34,Adcock Ingram,1.68,1.01,Lewis,0.53,0.33
71,Globe Trade Centre,1.04,6.66,0.90,-13.46,2.57,-61.41,Heriot,0.9,5.1,Industrials REIT,0.75,7.42,Alphamin Res,1.01,10.76,Grindrod Shipping,13.59,0.31,MiX Telematics Ltd,1.55,1.2,Lesaka Tech,0.36,0.38,Acsion,0.33,2.57
72,Karooooo,12.02,7.18,0.57,-95.26,0.37,-94.85,Emedia Holdings,0.57,0.47,E Media Holdings Ltd,0.57,0.47,Master Drilling Group Ltd,0.65,0.59,Marshall Monteagle PLC,0.0,0.37,Invicta Holdings,0.59,0.34,Invicta,0.59,0.34,South Ocean Holdings Ltd,0.37,0.12
73,Vukile Property,0.69,3.58,0.90,30.43,2.92,-18.44,Coronation,5.33,2.92,Fortress Income,0.63,3.57,Sirius RE,1.09,5.72,SA Corporate Real Estate,0.52,2.71,Resilient Property,0.0,0.0,NEPI Rockcastle,0.9,5.59,Avi,5.2,1.8
74,Alphamin Res,1.01,10.76,0.75,-25.74,3.14,-70.82,Lesaka Tech,0.36,0.38,MiX Telematics Ltd,1.55,1.2,Bytes Technology,24.35,3.14,Acsion,0.33,2.57,Sabvest Capital,0.87,3.83,Industrials REIT,0.75,7.42,Mtn Zakhele Futhi,0.5,10.39
75,Tsogo Sun,3.34,1.19,0.68,-79.64,0.27,-77.31,Combined Moto,1.77,0.18,Brimstone Investment,0.52,0.27,AfroCentric Investment Corp,1.29,0.36,Mustek Ltd,0.68,0.1,Bell Equipment Ltd.,0.37,0.17,Libstar,0.66,0.34,Sun International,3.74,0.88
76,Equites Property Fund Ltd,0.79,5.95,0.69,-12.66,2.92,-50.92,Jubilee Platinum,0.54,3.05,Vukile Property,0.69,3.58,Coronation,5.33,2.92,OUTsurance,4.76,2.55,Fortress Income,0.63,3.57,Resilient Property,0.0,0.0,Pan African Resources,1.86,2.69
77,Drdgold,1.97,2.1,1.09,-44.67,3.05,45.24,Zeder,0.63,0.0,Jubilee Platinum,0.54,3.05,Sirius RE,1.09,5.72,Attacq,0.49,2.44,City Lodge,2.45,1.73,RENERGEN,4.93,1160.0,Purple Capital Ltd,3.61,6.36
78,Suprgrp,0.77,0.2,1.50,94.81,0.63,215.00,MultiChoice,4.9,1.06,Foschini Group,1.5,0.63,Clicks,11.4,1.64,Telkom,0.51,0.42,AECI Pref,0.9,0.34,Mr Price,3.03,1.3,Hulamin,0.33,0.07
79,Coronation,5.33,2.92,0.69,-87.05,2.71,-7.19,Fortress Income,0.63,3.57,Resilient Property,0.0,0.0,Vukile Property,0.69,3.58,SA Corporate Real Estate,0.52,2.71,NEPI Rockcastle,0.9,5.59,Avi,5.2,1.8,Northam Platinum Holdings,2.03,1.77
80,RCL Foods,0.9,0.28,1.81,101.11,0.38,35.71,Santam,0.0,0.0,Distell,2.24,1.9,Clicks,11.4,1.64,Cashbuild,1.81,0.38,Aveng Ltd,0.46,0.06,Astral,1.29,0.32,Tiger Brands,2.26,1.03
81,Reunert,1.35,0.86,0.49,-63.70,0.70,-18.60,Attacq,0.49,2.44,Avi,5.2,1.8,NEPI Rockcastle,0.9,5.59,Hulamin,0.33,0.07,Quilter,1.32,0.7,Resilient Property,0.0,0.0,Grindrod,0.0,0.0
82,AECI Pref,0.9,0.34,2.05,127.78,0.97,185.29,Metair,0.97,0.38,Clicks,11.4,1.64,Astral,1.29,0.32,Netcare,2.05,0.97,Distell,2.24,1.9,Mr Price,3.03,1.3,RCL Foods,0.9,0.28
83,African Rainbow,0.72,5.94,1.79,148.61,2.55,-57.07,Equites Property Fund Ltd,0.79,5.95,OUTsurance,4.76,2.55,Kibo Energy,0.21,10.39,Gold Fields,1.88,1.85,PPC,0.7,0.45,AngloGold Ashanti,1.79,1.63,Pan African Resources,1.86,2.69
84,Advtech,1.96,1.4,0.64,-67.35,1.80,28.57,Avi,5.2,1.8,SA Corporate Real Estate,0.52,2.71,Attacq,0.49,2.44,Quilter,1.32,0.7,Curro Hol,0.64,1.12,NEPI Rockcastle,0.9,5.59,Resilient Property,0.0,0.0
85,JSE,0.0,0.0,0.89,0.00,1.01,0.00,PSG Konsult Ltd,3.8,2.52,Afrimat,2.26,1.75,Adcock Ingram,1.68,1.01,Caxton,0.47,0.54,RFG Holdings,0.89,0.37,Spear REIT,0.62,2.82,Insimbi Refractory Alloy Supply,0.58,0.07
86,Adcock Ingram,1.68,1.01,0.57,-66.07,0.17,-83.17,RFG Holdings,0.89,0.37,Bell Equipment Ltd.,0.37,0.17,Grindrod,0.0,0.0,Afrimat,2.26,1.75,Quantum Foods Holdings,0.45,0.16,Mustek Ltd,0.68,0.1,Deneb Investments,0.57,0.3
87,Kap Industrial,0.73,0.29,1.52,108.22,1.63,462.07,Redefine Properties,0.51,2.98,SA Corporate Real Estate,0.52,2.71,MTN,2.31,1.32,AngloGold Ashanti,1.79,1.63,Life Healthcare,1.52,1.0,Pan African Resources,1.86,2.69,Pepkor,1.1,0.85
88,Sun International,3.74,0.88,0.97,-74.06,0.27,-69.32,Kaap Agri Bedryf,1.05,0.18,Tsogo Sun,3.34,1.19,Sea Harvest,0.88,0.53,Brimstone Investment,0.52,0.27,Metair,0.97,0.38,Mustek Ltd,0.68,0.1,Combined Moto,1.77,0.18
89,Afrimat,2.26,1.75,0.88,-61.06,0.53,-69.71,Italtile,2.29,1.71,Grindrod,0.0,0.0,Adcock Ingram,1.68,1.01,Caxton,0.47,0.54,Sea Harvest,0.88,0.53,AfroCentric Investment Corp,1.29,0.36,Invicta,0.59,0.34
90,Industrials REIT,0.75,7.42,1.55,106.67,1.20,-83.83,Acsion,0.33,2.57,Grindrod Shipping,13.59,0.31,PBT Group,2.09,0.69,Sygnia Ltd,3.17,3.3,DRA Global,0.46,0.13,Alphamin Res,1.01,10.76,MiX Telematics Ltd,1.55,1.2
91,Famous Brands,10.04,0.95,0.58,-94.22,0.34,-64.21,Insimbi Refractory Alloy Supply,0.58,0.07,Deneb Investments,0.57,0.3,Invicta Holdings,0.59,0.34,Invicta,0.59,0.34,Balwin Properties,0.41,0.43,Master Drilling Group Ltd,0.65,0.59,Lewis,0.53,0.33
92,Southern Sun,0.82,1.54,0.88,7.32,0.53,-65.58,Altron,0.75,0.37,Sea Harvest,0.88,0.53,Italtile,2.29,1.71,Afrimat,2.26,1.75,Alexander Forbes Group Holdings,1.53,1.45,JSE,0.0,0.0,Invicta,0.59,0.34
93,Tharisa,0.63,0.52,0.97,53.97,0.37,-28.85,Sea Harvest,0.88,0.53,Italtile,2.29,1.71,Kaap Agri Bedryf,1.05,0.18,Mustek Ltd,0.68,0.1,Metair,0.97,0.38,AfroCentric Investment Corp,1.29,0.36,Altron,0.75,0.37
94,Invprop,0.5,4.59,0.63,26.00,2.24,-51.20,Fortress Income,0.63,3.57,City Lodge,2.45,1.73,Attacq,0.49,2.44,Emira,0.59,2.24,Stor-Age Property REIT Ltd,0.91,6.45,JSE,0.0,0.0,Curro Hol,0.64,1.12
